SDGi,Life Exectancy,HDI,Per Capita GDP,Population (millions),Built up land,Cropland,Grazing land,Forest land,Fishing ground,Built up land.1,Total biocapacity ,Ecological (Deficit) or Reserve,,,,,Total Ecological Footprint (Consumption),,,,,Average total ecological Footprint
71.6,76,0.8,14889,2.9,0.1,0.6,0.2,0.223326157,0.081391904,0.073005587,1.176752316,-0.894486045,,,,,2.1,,,,,3.172972973
71.5,76,0.75,11137,45.4,0,0.4,0.2,0.023911707,0.007179154,0.037775208,0.663374969,-1.559593496,,,,,2.2,,,,,
50.9,62,0.59,6304,35,0.1,0.2,0.8,0.416887822,0.153498781,0.061359798,1.588191242,0.730345635,,,,,0.9,,,,,
72.8,75,0.84,22117,46,0.1,1.8,1.2,0.591673397,1.527614549,0.083517167,5.231663301,2.011044922,,,,,3.2,,,,,
71.1,72,0.76,13548,3,0.1,0.4,0.3,0.098199897,0.016852624,0.052181926,0.846624546,-1.479770423,,,,,2.3,,,,,
75.6,83,0.95,53053,26.1,0,1.8,4.5,1.86199177,2.82750336,0.024586629,11.02140059,5.244362496,,,,,5.8,,,,,
82.3,81,0.92,55460,9.1,0.2,0.6,0.1,1.952259799,0.005608961,0.194412585,2.8937746,-2.732865942,,,,,5.6,,,,,
73.5,69,0.75,14692,10.3,0,0.6,0.2,0.103819226,0.014091532,0.045343476,0.936954621,-1.420134343,,,,,2.4,,,,,
64.3,79,0.88,49184,1.8,0.1,0,0,0.000850806,0.418958757,0.128777746,0.555726117,-7.620475328,,,,,8.2,,,,,
64.2,72,0.66,5681,167.9,0.1,0.1,0,0.004829666,0.048880732,0.06535964,0.247818312,-0.422906592,,,,,0.7,,,,,
70.3,78,0.79,14910,0.3,0.1,0.1,0,0.018580407,0.04434191,0.122920788,0.259910991,-3.054224767,,,,,3.3,,,,,
76,72,0.81,18574,9.4,0.1,1.7,0.2,1.671707099,0.017935493,0.05422402,3.702523221,-0.87572973,,,,,4.6,,,,,
79.7,82,0.94,52749,11.7,0.4,0.4,0.1,0.282650719,0.04200406,0.412599923,1.161287077,-5.528361569,,,,,6.7,,,,,
65.7,70,0.68,6122,0.4,0,0.5,0.2,1.755450552,0.895603799,0.002146169,3.303245105,-4.227131211,,,,,7.5,,,,,
51.2,60,0.53,3543,12.8,0,0.4,0,0.17587775,0.017100718,0.039339611,0.633463684,-0.477126427,,,,,1.1,,,,,
70.5,72,0.67,11106,0.8,0.2,0.3,0.3,4.036194096,0.011788611,0.180000479,4.872815927,0.152248438,,,,,4.7,,,,,
68,64,0.69,8442,12,0.1,0.6,1.9,10.60588848,0.046119914,0.070951801,13.2359069,10.46337161,,,,,2.8,,,,,
71.7,75,0.78,14964,3.2,0,0.8,0.3,1.058867994,0.000237759,0.038085376,2.173852297,-2.091693634,,,,,4.3,,,,,
61.4,61,0.69,16519,2.4,0,0.1,1.9,0.645552946,0.210410777,0.033459921,2.902419861,0.680635387,,,,,2.2,,,,,
72.8,73,0.75,14739,215.4,0.2,0.8,0.8,6.128738473,0.158958909,0.236773366,8.177126233,5.625306893,,,,,2.6,,,,,
67.1,75,0.83,64198,0.4,0,0,0,1.402184299,1.156231674,0.03809923,2.617611086,-5.291012187,,,,,7.9,,,,,
74.3,72,0.8,24490,6.8,0.1,1.5,0.2,1.119766166,0.136829639,0.110499365,3.084292312,-0.497837046,,,,,3.6,,,,,
54.5,59,0.45,2281,22.1,0,0.3,0.1,0.203774768,0.001008903,0.022283693,0.694622433,-0.203164148,,,,,0.9,,,,,
54.1,62,0.43,733,12.6,0,0.2,0.1,0.007316808,0.006154334,0.049625412,0.356306547,-0.2372992,,,,,0.6,,,,,
63.8,70,0.59,4705,17.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,1.01194657,-0.327504084,,,,,1.3,,,,,
55.5,60,0.58,3767,27.9,0.1,0.5,0.1,0.72635079,0.060928803,0.050792785,1.426698897,0.382675283,,,,,1,,,,,
77.7,83,0.94,49516,38.4,0,2.7,0.3,8.024229903,3.150398408,0.040869635,14.2410608,6.820419866,,,,,7.4,,,,,
39.3,54,0.4,944,5,0,0.4,0.5,5.526731194,0,0.023683815,6.411713946,5.294840348,,,,,1.1,,,,,
41.3,53,0.39,1460,17.4,0,0.3,0.8,0.238273209,0.05162845,0.023336257,1.442213862,0.067589937,,,,,1.4,,,,,
77.8,79,0.86,24433,19.3,0.1,0.3,0.4,2.038244344,0.343150417,0.118355688,3.231436235,-0.610397283,,,,,3.8,,,,,
72.4,78,0.77,18299,27.92111111,0.1,0.3,0.1,0.223058918,0.042214858,0.123909995,0.802130192,-2.816518632,,,,,3.6,,,,,
70.1,73,0.75,15610,51.5,0.1,0.5,1.1,1.895293089,0.0636728,0.066788107,3.587634761,1.610520636,,,,,2,,,,,
52.3,64,0.57,3921,5.8,0.1,0.2,2.3,5.078503786,0.259848564,0.061983349,7.831302282,6.712954164,,,,,1.1,,,,,
50,59,0.48,1127,95.2,0.1,0.2,0.2,1.348660186,0.031009487,0.081315072,1.846246272,1.160856503,,,,,0.7,,,,,
73.8,77,0.81,20976,5.2,0.3,0.3,0.3,0.643532322,0.111495566,0.251434428,1.615101928,-0.983838933,,,,,2.6,,,,,
78.8,76,0.86,31007,4.1,0.2,0.7,0.2,1.16326204,0.360782969,0.155072882,2.5716721,-1.140193191,,,,,3.7,,,,,
74.2,81,0.9,41492,1.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,0.380453362,-2.808880102,,,,,3.2,,,,,
